,income,label
1394, <=50K.,0
1395, <=50K.,0
1396, <=50K.,0
1397, <=50K.,0
1398, <=50K.,0
1399, >50K.,1
1400, >50K.,1
1401, <=50K.,0
1402, >50K.,1
1403, <=50K.,0
1404, <=50K.,0
1405, <=50K.,0
1406, <=50K.,0
1407, <=50K.,0
1408, <=50K.,0
1409, >50K.,1
1410, <=50K.,0
1411, <=50K.,0
1412, >50K.,1
1413, >50K.,1
1414, <=50K.,0
1415, <=50K.,0
1416, <=50K.,0
1417, <=50K.,0
1418, <=50K.,0
1419, <=50K.,0
1420, <=50K.,0
1421, <=50K.,0
1422, <=50K.,0
1423, <=50K.,0
1424, <=50K.,0
1425, >50K.,1
1426, <=50K.,0
1427, <=50K.,0
1428, >50K.,1
1429, >50K.,1
1430, <=50K.,0
1431, <=50K.,0
1432, <=50K.,0
1433, <=50K.,0
1434, <=50K.,0
1435, <=50K.,0
1436, <=50K.,0
1437, >50K.,1
1438, <=50K.,0
1439, <=50K.,0
1440, <=50K.,0
1441, <=50K.,0
1442, >50K.,1
1443, >50K.,1
1444, <=50K.,0
1445, <=50K.,0
1446, <=50K.,0
1447, >50K.,1
1448, >50K.,1
1449, >50K.,1
1450, >50K.,1
1451, <=50K.,0
1452, <=50K.,0
1453, <=50K.,0
1454, <=50K.,0
1455, <=50K.,0
1456, >50K.,1
1457, <=50K.,0
1458, <=50K.,0
1459, >50K.,1
1460, >50K.,1
1461, <=50K.,0
1462, <=50K.,0
1463, <=50K.,0
1464, >50K.,1
1465, <=50K.,0
1466, <=50K.,0
1467, <=50K.,0
1468, <=50K.,0
1469, <=50K.,0
1470, <=50K.,0
1471, <=50K.,0
1472, <=50K.,0
1473, <=50K.,0
1474, <=50K.,0
1475, <=50K.,0
1476, <=50K.,0
1477, >50K.,1
1478, >50K.,1
1479, <=50K.,0
1480, <=50K.,0
1481, <=50K.,0
1482, <=50K.,0
1483, >50K.,1
1484, <=50K.,0
1485, <=50K.,0
1486, >50K.,1
1487, <=50K.,0
1488, >50K.,1
1489, <=50K.,0
1490, <=50K.,0
1491, <=50K.,0
1492, <=50K.,0
1493, <=50K.,0
1494, <=50K.,0
1495, <=50K.,0
1496, >50K.,1
1497, >50K.,1
1498, <=50K.,0
1499, >50K.,1
1500, <=50K.,0
1501, <=50K.,0
1502, <=50K.,0
1503, <=50K.,0
1504, >50K.,1
1505, <=50K.,0
1506, >50K.,1
1507, <=50K.,0
1508, >50K.,1
1509, <=50K.,0
1510, <=50K.,0
1511, <=50K.,0
1512, <=50K.,0
1513, >50K.,1
1514, <=50K.,0
1515, <=50K.,0
1516, <=50K.,0
1517, <=50K.,0
1518, <=50K.,0
1519, <=50K.,0
1520, <=50K.,0
1521, <=50K.,0
1522, <=50K.,0
1523, <=50K.,0
1524, <=50K.,0
1525, <=50K.,0
1526, >50K.,1
1527, <=50K.,0
1528, <=50K.,0
1529, <=50K.,0
1530, <=50K.,0
1531, <=50K.,0
1532, <=50K.,0
1533, <=50K.,0
1534, <=50K.,0
1535, <=50K.,0
1536, >50K.,1
1537, <=50K.,0
1538, >50K.,1
1539, <=50K.,0
1540, <=50K.,0
1541, <=50K.,0
1542, <=50K.,0
1543, <=50K.,0
1544, <=50K.,0
1545, <=50K.,0
1546, <=50K.,0
1547, <=50K.,0
1548, <=50K.,0
1549, <=50K.,0
1550, <=50K.,0
1551, <=50K.,0
1552, <=50K.,0
1553, <=50K.,0
1554, <=50K.,0
1555, <=50K.,0
1556, >50K.,1
1557, >50K.,1
1558, >50K.,1
1559, <=50K.,0
1560, >50K.,1
1561, <=50K.,0
1562, <=50K.,0
1563, >50K.,1
1564, <=50K.,0
1565, >50K.,1
1566, >50K.,1
1567, <=50K.,0
1568, <=50K.,0
1569, <=50K.,0
1570, <=50K.,0
1571, <=50K.,0
1572, <=50K.,0
1573, <=50K.,0
1574, <=50K.,0
1575, <=50K.,0
1576, >50K.,1
1577, <=50K.,0
1578, <=50K.,0
1579, <=50K.,0
1580, <=50K.,0
1581, <=50K.,0
1582, <=50K.,0
1583, <=50K.,0
1584, <=50K.,0
1585, <=50K.,0
1586, <=50K.,0
1587, <=50K.,0
1588, <=50K.,0
1589, <=50K.,0
1590, >50K.,1
1591, <=50K.,0
1592, >50K.,1
1593, <=50K.,0
1594, <=50K.,0
1595, <=50K.,0
1596, <=50K.,0
1597, <=50K.,0
1598, <=50K.,0
1599, <=50K.,0
1600, >50K.,1
1601, <=50K.,0
1602, <=50K.,0
1603, <=50K.,0
1604, <=50K.,0
1605, <=50K.,0
1606, <=50K.,0
1607, <=50K.,0
1608, <=50K.,0
1609, <=50K.,0
1610, <=50K.,0
1611, <=50K.,0
1612, <=50K.,0
1613, >50K.,1
1614, <=50K.,0
1615, >50K.,1
1616, <=50K.,0
1617, <=50K.,0
1618, <=50K.,0
1619, <=50K.,0
1620, >50K.,1
1621, <=50K.,0
1622, >50K.,1
1623, <=50K.,0
1624, <=50K.,0
1625, <=50K.,0
1626, <=50K.,0
1627, <=50K.,0
1628, <=50K.,0
1629, >50K.,1
1630, <=50K.,0
1631, >50K.,1
1632, <=50K.,0
1633, <=50K.,0
1634, <=50K.,0
1635, <=50K.,0
1636, <=50K.,0
1637, <=50K.,0
1638, <=50K.,0
1639, <=50K.,0
1640, <=50K.,0
1641, <=50K.,0
1642, <=50K.,0
1643, <=50K.,0
1644, <=50K.,0
1645, <=50K.,0
1646, <=50K.,0
1647, <=50K.,0
1648, <=50K.,0
1649, <=50K.,0
1650, <=50K.,0
1651, <=50K.,0
1652, <=50K.,0
1653, <=50K.,0
1654, >50K.,1
1655, >50K.,1
1656, >50K.,1
1657, <=50K.,0
1658, <=50K.,0
1659, <=50K.,0
1660, <=50K.,0
1661, <=50K.,0
1662, <=50K.,0
1663, <=50K.,0
1664, <=50K.,0
1665, <=50K.,0
1666, <=50K.,0
1667, >50K.,1
1668, <=50K.,0
1669, <=50K.,0
1670, <=50K.,0
1671, >50K.,1
1672, <=50K.,0
1673, >50K.,1
1674, <=50K.,0
1675, >50K.,1
1676, >50K.,1
1677, <=50K.,0
1678, <=50K.,0
1679, >50K.,1
1680, >50K.,1
1681, <=50K.,0
1682, <=50K.,0
1683, <=50K.,0
1684, <=50K.,0
1685, <=50K.,0
1686, <=50K.,0
1687, <=50K.,0
1688, <=50K.,0
1689, <=50K.,0
1690, <=50K.,0
1691, <=50K.,0
1692, >50K.,1
1693, <=50K.,0
1694, <=50K.,0
1695, <=50K.,0
1696, <=50K.,0
1697, <=50K.,0
1698, <=50K.,0
1699, >50K.,1
1700, <=50K.,0
1701, <=50K.,0
1702, <=50K.,0
1703, <=50K.,0
1704, <=50K.,0
1705, >50K.,1
1706, >50K.,1
1707, <=50K.,0
1708, >50K.,1
1709, >50K.,1
1710, <=50K.,0
1711, <=50K.,0
1712, <=50K.,0
1713, >50K.,1
1714, <=50K.,0
1715, <=50K.,0
1716, >50K.,1
1717, <=50K.,0
1718, <=50K.,0
1719, >50K.,1
1720, >50K.,1
1721, <=50K.,0
1722, <=50K.,0
1723, <=50K.,0
1724, <=50K.,0
1725, <=50K.,0
1726, <=50K.,0
1727, <=50K.,0
1728, >50K.,1
1729, <=50K.,0
1730, <=50K.,0
1731, >50K.,1
1732, <=50K.,0
1733, <=50K.,0
1734, <=50K.,0
1735, <=50K.,0
1736, <=50K.,0
1737, <=50K.,0
1738, <=50K.,0
1739, <=50K.,0
1740, >50K.,1
1741, <=50K.,0
1742, <=50K.,0
1743, <=50K.,0
1744, <=50K.,0
1745, <=50K.,0
1746, >50K.,1
1747, <=50K.,0
1748, >50K.,1
1749, <=50K.,0
1750, <=50K.,0
1751, <=50K.,0
1752, <=50K.,0
1753, <=50K.,0
1754, <=50K.,0
1755, <=50K.,0
1756, <=50K.,0
1757, <=50K.,0
1758, >50K.,1
1759, >50K.,1
1760, <=50K.,0
1761, <=50K.,0
1762, <=50K.,0
1763, <=50K.,0
1764, <=50K.,0
1765, >50K.,1
1766, <=50K.,0
1767, <=50K.,0
1768, <=50K.,0
1769, >50K.,1
1770, <=50K.,0
1771, <=50K.,0
1772, <=50K.,0
1773, <=50K.,0
1774, <=50K.,0
1775, <=50K.,0
1776, <=50K.,0
1777, <=50K.,0
1778, <=50K.,0
1779, <=50K.,0
1780, <=50K.,0
1781, <=50K.,0
1782, <=50K.,0
1783, <=50K.,0
1784, <=50K.,0
1785, >50K.,1
1786, <=50K.,0
1787, <=50K.,0
1788, <=50K.,0
1789, <=50K.,0
1790, <=50K.,0
1791, <=50K.,0
1792, <=50K.,0
1793, <=50K.,0
1794, <=50K.,0
1795, >50K.,1
1796, <=50K.,0
1797, <=50K.,0
1798, >50K.,1
1799, <=50K.,0
1800, >50K.,1
1801, <=50K.,0
1802, <=50K.,0
1803, <=50K.,0
1804, >50K.,1
1805, <=50K.,0
1806, <=50K.,0
1807, <=50K.,0
1808, >50K.,1
1809, <=50K.,0
1810, <=50K.,0
1811, <=50K.,0
1812, <=50K.,0
1813, <=50K.,0
1814, >50K.,1
1815, <=50K.,0
1816, <=50K.,0
1817, <=50K.,0
1818, <=50K.,0
1819, >50K.,1
1820, <=50K.,0
1821, >50K.,1
1822, >50K.,1
1823, <=50K.,0
1824, >50K.,1
1825, <=50K.,0
1826, <=50K.,0
1827, <=50K.,0
1828, <=50K.,0
1829, >50K.,1
1830, >50K.,1
1831, >50K.,1
1832, <=50K.,0
1833, <=50K.,0
1834, <=50K.,0
1835, <=50K.,0
1836, <=50K.,0
1837, <=50K.,0
1838, >50K.,1
1839, <=50K.,0
1840, >50K.,1
1841, <=50K.,0
1842, <=50K.,0
1843, <=50K.,0
1844, >50K.,1
1845, <=50K.,0
1846, >50K.,1
1847, <=50K.,0
1848, >50K.,1
1849, <=50K.,0
1850, <=50K.,0
1851, <=50K.,0
1852, <=50K.,0
1853, <=50K.,0
1854, <=50K.,0
1855, <=50K.,0
1856, <=50K.,0
1857, <=50K.,0
1858, <=50K.,0
1859, <=50K.,0
1860, <=50K.,0
1861, <=50K.,0
1862, >50K.,1
1863, <=50K.,0
1864, <=50K.,0
1865, <=50K.,0
1866, <=50K.,0
1867, <=50K.,0
1868, >50K.,1
1869, <=50K.,0
1870, <=50K.,0
1871, <=50K.,0
1872, <=50K.,0
1873, <=50K.,0
1874, >50K.,1
1875, >50K.,1
1876, <=50K.,0
1877, <=50K.,0
1878, <=50K.,0
1879, <=50K.,0
1880, <=50K.,0
1881, <=50K.,0
1882, >50K.,1
1883, <=50K.,0
1884, >50K.,1
1885, <=50K.,0
1886, <=50K.,0
1887, <=50K.,0
1888, <=50K.,0
1889, <=50K.,0
1890, >50K.,1
1891, <=50K.,0
1892, >50K.,1
1893, <=50K.,0
1894, <=50K.,0
1895, <=50K.,0
1896, >50K.,1
1897, <=50K.,0
1898, <=50K.,0
1899, <=50K.,0
1900, >50K.,1
1901, <=50K.,0
1902, >50K.,1
1903, <=50K.,0
1904, >50K.,1
1905, <=50K.,0
1906, <=50K.,0
1907, >50K.,1
1908, <=50K.,0
1909, <=50K.,0
1910, >50K.,1
1911, <=50K.,0
1912, <=50K.,0
1913, <=50K.,0
1914, <=50K.,0
1915, >50K.,1
1916, >50K.,1
1917, <=50K.,0
1918, <=50K.,0
1919, <=50K.,0
1920, >50K.,1
1921, <=50K.,0
1922, <=50K.,0
1923, <=50K.,0
1924, >50K.,1
1925, <=50K.,0
1926, <=50K.,0
1927, >50K.,1
1928, <=50K.,0
1929, <=50K.,0
1930, <=50K.,0
1931, >50K.,1
1932, >50K.,1
1933, >50K.,1
1934, <=50K.,0
1935, <=50K.,0
1936, <=50K.,0
1937, >50K.,1
1938, <=50K.,0
1939, <=50K.,0
1940, <=50K.,0
1941, <=50K.,0
1942, <=50K.,0
1943, <=50K.,0
1944, <=50K.,0
1945, >50K.,1
1946, >50K.,1
1947, <=50K.,0
1948, <=50K.,0
1949, <=50K.,0
1950, >50K.,1
1951, <=50K.,0
1952, <=50K.,0
1953, <=50K.,0
1954, <=50K.,0
1955, <=50K.,0
1956, <=50K.,0
1957, <=50K.,0
1958, <=50K.,0
1959, <=50K.,0
1960, >50K.,1
1961, <=50K.,0
1962, <=50K.,0
1963, <=50K.,0
1964, <=50K.,0
1965, <=50K.,0
1966, <=50K.,0
1967, >50K.,1
1968, <=50K.,0
1969, <=50K.,0
1970, >50K.,1
1971, <=50K.,0
1972, >50K.,1
1973, <=50K.,0
1974, <=50K.,0
1975, <=50K.,0
1976, >50K.,1
1977, <=50K.,0
1978, >50K.,1
1979, <=50K.,0
1980, >50K.,1
1981, <=50K.,0
1982, <=50K.,0
1983, <=50K.,0
1984, <=50K.,0
1985, <=50K.,0
1986, <=50K.,0
1987, <=50K.,0
1988, <=50K.,0
1989, <=50K.,0
1990, <=50K.,0
1991, <=50K.,0
1992, <=50K.,0
1993, <=50K.,0
1994, <=50K.,0
1995, <=50K.,0
1996, <=50K.,0
1997, <=50K.,0
1998, <=50K.,0
1999, <=50K.,0
2000, <=50K.,0
2001, <=50K.,0
2002, <=50K.,0
2003, <=50K.,0
2004, >50K.,1
2005, <=50K.,0
2006, <=50K.,0
2007, <=50K.,0
2008, >50K.,1
2009, >50K.,1
2010, <=50K.,0
2011, <=50K.,0
2012, <=50K.,0
2013, <=50K.,0
2014, <=50K.,0
2015, >50K.,1
2016, >50K.,1
2017, <=50K.,0
2018, <=50K.,0
2019, <=50K.,0
2020, <=50K.,0
2021, <=50K.,0
2022, >50K.,1
2023, <=50K.,0
2024, <=50K.,0
2025, <=50K.,0
2026, <=50K.,0
2027, <=50K.,0
2028, <=50K.,0
2029, <=50K.,0
2030, <=50K.,0
2031, >50K.,1
2032, <=50K.,0
2033, <=50K.,0
2034, <=50K.,0
2035, <=50K.,0
2036, <=50K.,0
2037, <=50K.,0
2038, >50K.,1
2039, <=50K.,0
2040, <=50K.,0
2041, >50K.,1
2042, <=50K.,0
2043, <=50K.,0
2044, >50K.,1
2045, >50K.,1
2046, <=50K.,0
2047, >50K.,1
2048, <=50K.,0
2049, >50K.,1
2050, <=50K.,0
2051, <=50K.,0
2052, <=50K.,0
2053, <=50K.,0
2054, <=50K.,0
2055, <=50K.,0
2056, <=50K.,0
2057, <=50K.,0
2058, <=50K.,0
2059, <=50K.,0
2060, <=50K.,0
2061, <=50K.,0
2062, <=50K.,0
2063, >50K.,1
2064, <=50K.,0
2065, <=50K.,0
2066, <=50K.,0
2067, <=50K.,0
2068, <=50K.,0
2069, <=50K.,0
2070, <=50K.,0
2071, >50K.,1
2072, <=50K.,0
2073, <=50K.,0
2074, <=50K.,0
2075, <=50K.,0
2076, <=50K.,0
2077, >50K.,1
2078, >50K.,1
2079, <=50K.,0
2080, <=50K.,0
2081, >50K.,1
2082, >50K.,1
2083, <=50K.,0
2084, >50K.,1
2085, <=50K.,0
2086, <=50K.,0
2087, >50K.,1
2088, <=50K.,0
2089, <=50K.,0
2090, >50K.,1
2091, <=50K.,0
2092, <=50K.,0
2093, <=50K.,0
2094, <=50K.,0
2095, <=50K.,0
2096, <=50K.,0
2097, <=50K.,0
2098, <=50K.,0
2099, >50K.,1
2100, <=50K.,0
2101, >50K.,1
2102, <=50K.,0
2103, <=50K.,0
2104, <=50K.,0
2105, <=50K.,0
2106, <=50K.,0
2107, <=50K.,0
2108, <=50K.,0
2109, >50K.,1
2110, <=50K.,0
2111, <=50K.,0
2112, <=50K.,0
2113, <=50K.,0
2114, >50K.,1
2115, <=50K.,0
2116, <=50K.,0
2117, <=50K.,0
2118, <=50K.,0
2119, <=50K.,0
2120, <=50K.,0
2121, >50K.,1
2122, <=50K.,0
2123, <=50K.,0
2124, <=50K.,0
2125, <=50K.,0
2126, <=50K.,0
2127, <=50K.,0
2128, <=50K.,0
2129, >50K.,1
2130, <=50K.,0
2131, <=50K.,0
2132, <=50K.,0
2133, <=50K.,0
2134, >50K.,1
2135, <=50K.,0
2136, <=50K.,0
2137, <=50K.,0
2138, <=50K.,0
2139, <=50K.,0
2140, <=50K.,0
2141, <=50K.,0
2142, >50K.,1
2143, <=50K.,0
2144, >50K.,1
2145, <=50K.,0
2146, <=50K.,0
2147, <=50K.,0
2148, >50K.,1
2149, <=50K.,0
2150, >50K.,1
2151, >50K.,1
2152, <=50K.,0
2153, >50K.,1
2154, <=50K.,0
2155, <=50K.,0
2156, <=50K.,0
2157, <=50K.,0
2158, <=50K.,0
2159, <=50K.,0
2160, <=50K.,0
2161, <=50K.,0
2162, <=50K.,0
2163, <=50K.,0
2164, <=50K.,0
2165, <=50K.,0
2166, <=50K.,0
2167, >50K.,1
2168, >50K.,1
2169, >50K.,1
2170, <=50K.,0
2171, >50K.,1
2172, >50K.,1
2173, <=50K.,0
2174, <=50K.,0
2175, <=50K.,0
2176, <=50K.,0
2177, <=50K.,0
2178, <=50K.,0
2179, <=50K.,0
2180, <=50K.,0
2181, >50K.,1
2182, <=50K.,0
2183, >50K.,1
2184, <=50K.,0
2185, <=50K.,0
2186, >50K.,1
2187, <=50K.,0
2188, <=50K.,0
2189, >50K.,1
2190, <=50K.,0
2191, <=50K.,0
2192, <=50K.,0
2193, <=50K.,0
2194, <=50K.,0
2195, <=50K.,0
2196, <=50K.,0
2197, >50K.,1
2198, <=50K.,0
2199, >50K.,1
2200, >50K.,1
2201, <=50K.,0
2202, >50K.,1
2203, <=50K.,0
2204, <=50K.,0
2205, <=50K.,0
2206, <=50K.,0
2207, <=50K.,0
2208, <=50K.,0
2209, <=50K.,0
2210, <=50K.,0
2211, <=50K.,0
2212, <=50K.,0
2213, <=50K.,0
2214, <=50K.,0
2215, <=50K.,0
2216, >50K.,1
2217, <=50K.,0
2218, >50K.,1
2219, <=50K.,0
2220, >50K.,1
2221, <=50K.,0
2222, >50K.,1
2223, <=50K.,0
2224, <=50K.,0
2225, >50K.,1
2226, <=50K.,0
2227, <=50K.,0
2228, <=50K.,0
2229, <=50K.,0
2230, <=50K.,0
2231, <=50K.,0
2232, >50K.,1
2233, >50K.,1
2234, <=50K.,0
2235, >50K.,1
2236, <=50K.,0
2237, <=50K.,0
2238, <=50K.,0
2239, <=50K.,0
2240, >50K.,1
2241, <=50K.,0
2242, <=50K.,0
2243, >50K.,1
2244, <=50K.,0
2245, >50K.,1
2246, >50K.,1
2247, <=50K.,0
2248, <=50K.,0
2249, <=50K.,0
2250, <=50K.,0
2251, >50K.,1
2252, <=50K.,0
2253, <=50K.,0
2254, <=50K.,0
2255, <=50K.,0
2256, <=50K.,0
2257, <=50K.,0
2258, <=50K.,0
2259, <=50K.,0
2260, >50K.,1
2261, <=50K.,0
2262, <=50K.,0
2263, <=50K.,0
2264, <=50K.,0
2265, <=50K.,0
2266, >50K.,1
2267, >50K.,1
2268, <=50K.,0
2269, <=50K.,0
2270, >50K.,1
2271, <=50K.,0
2272, <=50K.,0
2273, <=50K.,0
2274, >50K.,1
2275, >50K.,1
2276, <=50K.,0
2277, <=50K.,0
2278, >50K.,1
2279, <=50K.,0
2280, >50K.,1
2281, <=50K.,0
2282, <=50K.,0
2283, <=50K.,0
2284, <=50K.,0
2285, >50K.,1
2286, >50K.,1
2287, <=50K.,0
2288, <=50K.,0
2289, <=50K.,0
2290, >50K.,1
2291, >50K.,1
2292, <=50K.,0
2293, >50K.,1
2294, >50K.,1
2295, <=50K.,0
2296, <=50K.,0
2297, >50K.,1
2298, >50K.,1
2299, <=50K.,0
2300, <=50K.,0
2301, <=50K.,0
2302, <=50K.,0
2303, <=50K.,0
2304, <=50K.,0
2305, >50K.,1
2306, >50K.,1
2307, <=50K.,0
2308, <=50K.,0
2309, <=50K.,0
2310, >50K.,1
2311, <=50K.,0
2312, <=50K.,0
2313, <=50K.,0
2314, <=50K.,0
2315, <=50K.,0
2316, >50K.,1
2317, <=50K.,0
2318, <=50K.,0
2319, <=50K.,0
2320, >50K.,1
2321, <=50K.,0
2322, <=50K.,0
2323, <=50K.,0
2324, >50K.,1
2325, <=50K.,0
2326, <=50K.,0
2327, <=50K.,0
2328, >50K.,1
2329, >50K.,1
2330, >50K.,1
2331, <=50K.,0
2332, <=50K.,0
2333, <=50K.,0
2334, >50K.,1
2335, <=50K.,0
2336, >50K.,1
2337, <=50K.,0
2338, <=50K.,0
2339, <=50K.,0
2340, >50K.,1
2341, >50K.,1
2342, <=50K.,0
2343, <=50K.,0
2344, <=50K.,0
2345, <=50K.,0
2346, <=50K.,0
2347, <=50K.,0
2348, <=50K.,0
2349, <=50K.,0
2350, <=50K.,0
2351, >50K.,1
2352, <=50K.,0
2353, <=50K.,0
2354, <=50K.,0
2355, >50K.,1
2356, <=50K.,0
2357, >50K.,1
2358, <=50K.,0
2359, >50K.,1
2360, <=50K.,0
2361, <=50K.,0
2362, <=50K.,0
2363, <=50K.,0
2364, <=50K.,0
2365, <=50K.,0
2366, >50K.,1
2367, <=50K.,0
2368, >50K.,1
2369, <=50K.,0
2370, <=50K.,0
2371, <=50K.,0
2372, >50K.,1
2373, >50K.,1
2374, <=50K.,0
2375, <=50K.,0
2376, <=50K.,0
2377, <=50K.,0
2378, <=50K.,0
2379, <=50K.,0
2380, <=50K.,0
2381, <=50K.,0
2382, <=50K.,0
2383, <=50K.,0
2384, <=50K.,0
2385, <=50K.,0
2386, <=50K.,0
2387, <=50K.,0
2388, <=50K.,0
2389, <=50K.,0
2390, >50K.,1
2391, <=50K.,0
2392, <=50K.,0
2393, <=50K.,0
2394, <=50K.,0
2395, <=50K.,0
2396, >50K.,1
2397, <=50K.,0
2398, <=50K.,0
2399, <=50K.,0
2400, <=50K.,0
2401, >50K.,1
2402, >50K.,1
2403, <=50K.,0
2404, <=50K.,0
2405, <=50K.,0
2406, <=50K.,0
2407, >50K.,1
2408, <=50K.,0
2409, >50K.,1
2410, <=50K.,0
2411, <=50K.,0
2412, <=50K.,0
2413, <=50K.,0
2414, <=50K.,0
2415, <=50K.,0
2416, <=50K.,0
2417, <=50K.,0
2418, <=50K.,0
2419, <=50K.,0
2420, <=50K.,0
2421, <=50K.,0
2422, <=50K.,0
2423, >50K.,1
2424, >50K.,1
2425, >50K.,1
2426, <=50K.,0
2427, >50K.,1
2428, <=50K.,0
2429, >50K.,1
2430, <=50K.,0
2431, <=50K.,0
2432, <=50K.,0
2433, <=50K.,0
2434, <=50K.,0
2435, <=50K.,0
2436, <=50K.,0
2437, >50K.,1
2438, >50K.,1
2439, >50K.,1
2440, <=50K.,0
2441, >50K.,1
2442, <=50K.,0
2443, <=50K.,0
2444, <=50K.,0
2445, <=50K.,0
2446, <=50K.,0
2447, <=50K.,0
2448, <=50K.,0
2449, <=50K.,0
2450, <=50K.,0
2451, <=50K.,0
2452, <=50K.,0
2453, <=50K.,0
2454, >50K.,1
2455, <=50K.,0
2456, <=50K.,0
2457, <=50K.,0
2458, >50K.,1
2459, <=50K.,0
2460, >50K.,1
2461, <=50K.,0
2462, <=50K.,0
2463, <=50K.,0
2464, <=50K.,0
2465, <=50K.,0
2466, >50K.,1
2467, <=50K.,0
2468, <=50K.,0
2469, <=50K.,0
2470, <=50K.,0
2471, >50K.,1
2472, >50K.,1
2473, <=50K.,0
2474, >50K.,1
2475, <=50K.,0
2476, <=50K.,0
2477, <=50K.,0
2478, <=50K.,0
2479, <=50K.,0
2480, >50K.,1
2481, <=50K.,0
2482, <=50K.,0
2483, >50K.,1
2484, <=50K.,0
2485, <=50K.,0
2486, <=50K.,0
2487, <=50K.,0
2488, <=50K.,0
2489, <=50K.,0
2490, <=50K.,0
2491, >50K.,1
2492, <=50K.,0
2493, <=50K.,0
2494, <=50K.,0
2495, <=50K.,0
2496, <=50K.,0
2497, <=50K.,0
2498, <=50K.,0
2499, <=50K.,0
2500, <=50K.,0
2501, <=50K.,0
2502, <=50K.,0
2503, <=50K.,0
2504, <=50K.,0
2505, <=50K.,0
2506, <=50K.,0
2507, <=50K.,0
2508, <=50K.,0
2509, >50K.,1
2510, <=50K.,0
2511, <=50K.,0
2512, <=50K.,0
2513, <=50K.,0
2514, <=50K.,0
2515, <=50K.,0
2516, <=50K.,0
2517, >50K.,1
2518, <=50K.,0
2519, <=50K.,0
2520, <=50K.,0
2521, <=50K.,0
2522, <=50K.,0
2523, <=50K.,0
2524, >50K.,1
2525, >50K.,1
2526, <=50K.,0
2527, <=50K.,0
2528, <=50K.,0
2529, >50K.,1
2530, >50K.,1
2531, <=50K.,0
2532, <=50K.,0
2533, <=50K.,0
2534, >50K.,1
2535, <=50K.,0
2536, <=50K.,0
2537, <=50K.,0
2538, <=50K.,0
2539, <=50K.,0
2540, <=50K.,0
2541, <=50K.,0
2542, <=50K.,0
2543, >50K.,1
2544, <=50K.,0
2545, <=50K.,0
2546, <=50K.,0
2547, <=50K.,0
2548, <=50K.,0
2549, >50K.,1
2550, <=50K.,0
2551, <=50K.,0
2552, >50K.,1
2553, <=50K.,0
2554, >50K.,1
2555, <=50K.,0
2556, <=50K.,0
2557, <=50K.,0
2558, <=50K.,0
2559, <=50K.,0
2560, <=50K.,0
2561, <=50K.,0
2562, <=50K.,0
2563, >50K.,1
2564, <=50K.,0
2565, >50K.,1
2566, <=50K.,0
2567, <=50K.,0
2568, <=50K.,0
2569, <=50K.,0
2570, <=50K.,0
2571, <=50K.,0
2572, <=50K.,0
2573, <=50K.,0
2574, >50K.,1
2575, <=50K.,0
2576, >50K.,1
2577, <=50K.,0
2578, <=50K.,0
2579, <=50K.,0
2580, <=50K.,0
2581, >50K.,1
2582, <=50K.,0
2583, >50K.,1
2584, <=50K.,0
2585, >50K.,1
2586, <=50K.,0
2587, <=50K.,0
2588, <=50K.,0
2589, <=50K.,0
2590, <=50K.,0
2591, <=50K.,0
2592, >50K.,1
2593, <=50K.,0
2594, <=50K.,0
2595, >50K.,1
2596, <=50K.,0
2597, <=50K.,0
2598, <=50K.,0
2599, >50K.,1
2600, <=50K.,0
2601, <=50K.,0
2602, <=50K.,0
2603, <=50K.,0
2604, <=50K.,0
2605, <=50K.,0
2606, >50K.,1
2607, <=50K.,0
2608, <=50K.,0
2609, <=50K.,0
2610, <=50K.,0
2611, <=50K.,0
2612, <=50K.,0
2613, <=50K.,0
2614, <=50K.,0
2615, <=50K.,0
2616, <=50K.,0
2617, <=50K.,0
2618, >50K.,1
2619, >50K.,1
2620, >50K.,1
2621, >50K.,1
2622, <=50K.,0
2623, <=50K.,0
2624, <=50K.,0
2625, >50K.,1
2626, >50K.,1
2627, <=50K.,0
2628, >50K.,1
2629, <=50K.,0
2630, <=50K.,0
2631, <=50K.,0
2632, <=50K.,0
2633, <=50K.,0
2634, <=50K.,0
2635, >50K.,1
2636, <=50K.,0
2637, <=50K.,0
2638, <=50K.,0
2639, >50K.,1
2640, >50K.,1
2641, >50K.,1
2642, <=50K.,0
2643, <=50K.,0
2644, <=50K.,0
2645, <=50K.,0
2646, <=50K.,0
2647, <=50K.,0
2648, <=50K.,0
2649, <=50K.,0
2650, <=50K.,0
2651, <=50K.,0
2652, >50K.,1
2653, <=50K.,0
2654, <=50K.,0
2655, <=50K.,0
2656, <=50K.,0
2657, <=50K.,0
2658, <=50K.,0
2659, <=50K.,0
2660, <=50K.,0
2661, >50K.,1
2662, <=50K.,0
2663, <=50K.,0
2664, >50K.,1
2665, <=50K.,0
2666, <=50K.,0
2667, <=50K.,0
2668, <=50K.,0
2669, >50K.,1
2670, >50K.,1
2671, <=50K.,0
2672, <=50K.,0
2673, >50K.,1
2674, >50K.,1
2675, <=50K.,0
2676, >50K.,1
2677, >50K.,1
2678, <=50K.,0
2679, <=50K.,0
2680, <=50K.,0
2681, <=50K.,0
2682, <=50K.,0
2683, <=50K.,0
2684, <=50K.,0
2685, <=50K.,0
2686, <=50K.,0
2687, <=50K.,0
2688, >50K.,1
2689, <=50K.,0
2690, >50K.,1
2691, <=50K.,0
2692, <=50K.,0
